# All target-date fund series with tickered classes, from SEC series/class census 2026
# Generated 2026-07-07; 387 series; one class per series (retail-preferred)
# Usage: fundautopsy wrapper $(grep -v "^#" data/universes/tdf_all.txt | tr "
" " ")
JLIAX  # Multimanager 2040 Lifetime Portfolio | Class A
JLKAX  # Multimanager 2050 Lifetime Portfolio | Class A
JJERX  # Multimanager 2060 Lifetime Portfolio | Class A
NWAFX  # Nationwide Destination 2020 Fund | Class A
NWIAX  # Nationwide Destination 2030 Fund | Class A
NWMAX  # Nationwide Destination 2040 Fund | Class A
NWOAX  # Nationwide Destination 2050 Fund | Class A
NWWRX  # Nationwide Destination 2060 Fund | Class A
NSFBX  # Natixis Target Retirement 2015 Fund | Class N
NSFDX  # Natixis Target Retirement 2020 Fund | Class N
NSFEX  # Natixis Target Retirement 2025 Fund | Class N
NSFFX  # Natixis Target Retirement 2030 Fund | Class N
NSFGX  # Natixis Target Retirement 2035 Fund | Class N
NSFHX  # Natixis Target Retirement 2040 Fund | Class N
NSFJX  # Natixis Target Retirement 2045 Fund | Class N
NSFKX  # Natixis Target Retirement 2050 Fund | Class N
NSFLX  # Natixis Target Retirement 2055 Fund | Class N
NSFMX  # Natixis Target Retirement 2060 Fund | Class N
NSFOX  # Natixis Target Retirement 2065 Fund | Class N
TIPA  # Northern Trust 2030 Inflation-Linked Distributing Ladder ETF | Northern Trust 2030 Inflation-Linked Distributing Ladder ETF
MUNA  # Northern Trust 2030 Tax-Exempt Distributing Ladder ETF | Northern Trust 2030 Tax-Exempt Distributing Ladder ETF
TCLTX  # Nuveen Lifecycle 2020 Fund | Retirement Class
TCLNX  # Nuveen Lifecycle 2030 Fund | Retirement Class
TCLOX  # Nuveen Lifecycle 2040 Fund | Retirement Class
TLFRX  # Nuveen Lifecycle 2050 Fund | Retirement Class
TLXRX  # Nuveen Lifecycle 2060 Fund | Retirement Class
TLWRX  # Nuveen Lifecycle Index 2020 Fund | Retirement Class
TLHRX  # Nuveen Lifecycle Index 2030 Fund | Retirement Class
TLZRX  # Nuveen Lifecycle Index 2040 Fund | Retirement Class
TLLRX  # Nuveen Lifecycle Index 2050 Fund | Retirement Class
TVITX  # Nuveen Lifecycle Index 2060 Fund | Retirement Class
ARCVX  # ONE CHOICE 2030 PORTFOLIO | Investor Class
ARDVX  # ONE CHOICE 2040 PORTFOLIO | Investor Class
ARFVX  # ONE CHOICE 2050 PORTFOLIO | Investor Class
ARGVX  # ONE CHOICE 2060 PORTFOLIO | Investor Class
AABWX  # ONE CHOICE BLEND+ 2030 PORTFOLIO | Investor Class
AACSX  # ONE CHOICE BLEND+ 2040 PORTFOLIO | Investor Class
AADNX  # ONE CHOICE BLEND+ 2050 PORTFOLIO | Investor Class
AAEFX  # ONE CHOICE BLEND+ 2060 PORTFOLIO | Investor Class
PDOHX  # PGIM TARGET DATE 2065 FUND | Class R6
PDAUX  # PGIM Target Date 2070 Fund | Class R6
PBPAX  # PIMCO REALPATH Blend 2030 Fund | Class A
PVPAX  # PIMCO REALPATH Blend 2040 Fund | Class A
PPQAX  # PIMCO REALPATH Blend 2050 Fund | Class A
PRBAX  # PIMCO REALPATH Blend 2060 Fund | Class A
PTBAX  # Principal LifeTime 2020 Fund | Class A
PTCAX  # Principal LifeTime 2030 Fund | Class A
PTDAX  # Principal LifeTime 2040 Fund | Class A
PPEAX  # Principal LifeTime 2050 Fund | Class A
PLTZX  # Principal LifeTime 2060 Fund | Institutional Class
PHTTX  # Principal LifeTime Hybrid 2020 Fund | Institutional Class
PHTNX  # Principal LifeTime Hybrid 2030 Fund | Institutional Class
PLTQX  # Principal LifeTime Hybrid 2040 Fund | Institutional Class
PHTUX  # Principal LifeTime Hybrid 2050 Fund | Institutional Class
PLTHX  # Principal LifeTime Hybrid 2060 Fund | Institutional Class
PBDLX  # Putnam Retirement Advantage 2025 Fund | Class A Shares
PDLTX  # Putnam Retirement Advantage 2030 Fund | Class A Shares
PDFLX  # Putnam Retirement Advantage 2035 Fund | Class A Shares
PCCLX  # Putnam Retirement Advantage 2040 Fund | Class A Shares
PALGX  # Putnam Retirement Advantage 2045 Fund | Class A Shares
PAEZX  # Putnam Retirement Advantage 2050 Fund | Class A Shares
PADYX  # Putnam Retirement Advantage 2055 Fund | Class A Shares
PAAVX  # Putnam Retirement Advantage 2060 Fund | Class A Shares
PCJZX  # Putnam Retirement Advantage 2065 Fund | Class A
PCJQX  # Putnam Retirement Advantage Plus 2065 Fund | Class A
SPTAX  # SP Funds 2030 Target Date Fund | Investor Shares
SPTBX  # SP Funds 2040 Target Date Fund | Investor Shares
SPTCX  # SP Funds 2050 Target Date Fund | Investor Shares
SWBRX  # Schwab Target 2010 Fund | Schwab Target 2010 Fund
SWYAX  # Schwab Target 2010 Index Fund | Schwab Target 2010 Index Fund
SWGRX  # Schwab Target 2015 Fund | Schwab Target 2015 Fund
SWYBX  # Schwab Target 2015 Index Fund | Schwab Target 2015 Index Fund
SWCRX  # Schwab Target 2020 Fund | Schwab Target 2020 Fund
SWYLX  # Schwab Target 2020 Index Fund | Schwab Target 2020 Index Fund
SWHRX  # Schwab Target 2025 Fund | Schwab Target 2025 Fund
SWYDX  # Schwab Target 2025 Index Fund | Schwab Target 2025 Index Fund
SWDRX  # Schwab Target 2030 Fund | Schwab Target 2030 Fund
SWYEX  # Schwab Target 2030 Index Fund | Schwab Target 2030 Index Fund
SWIRX  # Schwab Target 2035 Fund | Schwab Target 2035 Fund
SWYFX  # Schwab Target 2035 Index Fund | Schwab Target 2035 Index Fund
SWERX  # Schwab Target 2040 Fund | Schwab Target 2040 Fund
SWYGX  # Schwab Target 2040 Index Fund | Schwab Target 2040 Index Fund
SWMRX  # Schwab Target 2045 Fund | Schwab Target 2045 Fund
SWYHX  # Schwab Target 2045 Index Fund | Schwab Target 2045 Index Fund
SWNRX  # Schwab Target 2050 Fund | Schwab Target 2050 Fund
SWYMX  # Schwab Target 2050 Index Fund | Schwab Target 2050 Index Fund
SWORX  # Schwab Target 2055 Fund | Schwab Target 2055 Fund
SWYJX  # Schwab Target 2055 Index Fund | Schwab Target 2055 Index Fund
SWPRX  # Schwab Target 2060 Fund | Schwab Target 2060 Fund
SWYNX  # Schwab Target 2060 Index Fund | Schwab Target 2060 Index Fund
SWQRX  # Schwab Target 2065 Fund | Schwab Target 2065 Fund
SWYOX  # Schwab Target 2065 Index Fund | Schwab Target 2065 Index Fund
SWRRX  # Schwab Target 2070 Fund | Schwab Target 2070 Fund
SWYPX  # Schwab Target 2070 Index Fund | Schwab Target 2070 Index Fund
SSBJX  # State Street Target Retirement 2020 Fund | Class A
SSBPX  # State Street Target Retirement 2025 Fund | Class A
SSBUX  # State Street Target Retirement 2030 Fund | Class A
SSBZX  # State Street Target Retirement 2035 Fund | Class A
SSCLX  # State Street Target Retirement 2040 Fund | Class A
SSCUX  # State Street Target Retirement 2045 Fund | Class A
SSDFX  # State Street Target Retirement 2050 Fund | Class A
SSDMX  # State Street Target Retirement 2055 Fund | Class A
SSDTX  # State Street Target Retirement 2060 Fund | Class A
SSFKX  # State Street Target Retirement 2065 Fund | Class K
SSGNX  # State Street Target Retirement 2070 Fund | Class K
TRRFX  # T. Rowe Price Retirement 2005 Fund | T. Rowe Price Retirement 2005 Fund
TRRAX  # T. Rowe Price Retirement 2010 Fund | T. Rowe Price Retirement 2010 Fund
TRRGX  # T. Rowe Price Retirement 2015 Fund | T. Rowe Price Retirement 2015 Fund
TRRBX  # T. Rowe Price Retirement 2020 Fund | T. Rowe Price Retirement 2020 Fund
TRRHX  # T. Rowe Price Retirement 2025 Fund | T. Rowe Price Retirement 2025 Fund
TRRCX  # T. Rowe Price Retirement 2030 Fund | T. Rowe Price Retirement 2030 Fund
TRRJX  # T. Rowe Price Retirement 2035 Fund | T. Rowe Price Retirement 2035 Fund
TRRDX  # T. Rowe Price Retirement 2040 Fund | T. Rowe Price Retirement 2040 Fund
TRRKX  # T. Rowe Price Retirement 2045 Fund | T. Rowe Price Retirement 2045 Fund
TRRMX  # T. Rowe Price Retirement 2050 Fund | T. Rowe Price Retirement 2050 Fund
TRRNX  # T. Rowe Price Retirement 2055 Fund | T. Rowe Price Retirement 2055 Fund
TRRLX  # T. Rowe Price Retirement 2060 Fund | T. Rowe Price Retirement 2060 Fund
PASUX  # T. Rowe Price Retirement 2065 Fund | T. Rowe Price Retirement 2065 Fund-Advisor Class
TRVSX  # T. Rowe Price Retirement 2070 Fund | T. Rowe Price Retirement 2070 Fund
TBLPX  # T. Rowe Price Retirement Blend 2005 Fund | T. Rowe Price Retirement Blend 2005 Fund
TBLQX  # T. Rowe Price Retirement Blend 2010 Fund | T. Rowe Price Retirement Blend 2010 Fund
TBLSX  # T. Rowe Price Retirement Blend 2015 Fund | T. Rowe Price Retirement Blend 2015 Fund
TSBAX  # T. Rowe Price Retirement Blend 2020 Fund | T. Rowe Price Retirement Blend 2020 Fund
TBLEX  # T. Rowe Price Retirement Blend 2025 Fund | T. Rowe Price Retirement Blend 2025 Fund-I Class
TBLGX  # T. Rowe Price Retirement Blend 2030 Fund | T. Rowe Price Retirement Blend 2030 Fund-I Class
TBLYX  # T. Rowe Price Retirement Blend 2035 Fund | T. Rowe Price Retirement Blend 2035 Fund
TRBLX  # T. Rowe Price Retirement Blend 2040 Fund | T. Rowe Price Retirement Blend 2040 Fund
TRBQX  # T. Rowe Price Retirement Blend 2045 Fund | T. Rowe Price Retirement Blend 2045 Fund
TBLLX  # T. Rowe Price Retirement Blend 2050 Fund | T. Rowe Price Retirement Blend 2050 Fund-I Class
TBLMX  # T. Rowe Price Retirement Blend 2055 Fund | T. Rowe Price Retirement Blend 2055 Fund-I Class
TRBNX  # T. Rowe Price Retirement Blend 2060 Fund | T. Rowe Price Retirement Blend 2060 Fund
TBLOX  # T. Rowe Price Retirement Blend 2065 Fund | T. Rowe Price Retirement Blend 2065 Fund-I Class
TRYQX  # T. Rowe Price Retirement Blend 2070 Fund | T. Rowe Price Retirement Blend 2070 Fund-I Class
